REGION,DIVISION,STATEFP,STATENS,GEOID,GEOIDFQ,STUSPS,NAME,LSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON
2,4,38,1779797,38,0400000US38,ND,North Dakota,0,G4000,A,1.79E+11,4414747947,47.442174,-100.4608258
3,6,21,1779786,21,0400000US21,KY,Kentucky,0,G4000,A,1.02E+11,2384223544,37.5336844,-85.2929801
9,0,78,1802710,78,0400000US78,VI,United States Virgin Islands,0,G4000,A,348021909,1550236187,18.3392359,-64.9500433
9,0,69,1779809,69,0400000US69,MP,Commonwealth of the Northern Mariana Islands,0,G4000,A,472292520,4644252458,15.0010865,145.6181702
9,0,66,1802705,66,0400000US66,GU,Guam,0,G4000,A,543555846,934337453,13.4382885,144.7729494
1,1,23,1779787,23,0400000US23,ME,Maine,0,G4000,A,79888284131,11745177995,45.4092843,-68.666616
1,2,36,1779796,36,0400000US36,NY,New York,0,G4000,A,1.22E+11,19256833049,42.9133974,-75.5962723
4,8,32,1779793,32,0400000US32,NV,Nevada,0,G4000,A,2.85E+11,1839880833,39.3310928,-116.6151469
4,9,2,1785533,2,0400000US02,AK,Alaska,0,G4000,A,1.48E+12,2.45E+11,63.347356,-152.8397334
9,0,60,1802701,60,0400000US60,AS,American Samoa,0,G4000,A,197759067,1307243751,-14.267159,-170.6682674
2,3,26,1779789,26,0400000US26,MI,Michigan,0,G4000,A,1.47E+11,1.04E+11,44.8441768,-85.6604907
3,7,5,68085,5,0400000US05,AR,Arkansas,0,G4000,A,1.35E+11,3122251184,34.8955256,-92.4446262
3,6,28,1779790,28,0400000US28,MS,Mississippi,0,G4000,A,1.22E+11,3914738613,32.6864714,-89.6561377
2,4,29,1779791,29,0400000US29,MO,Missouri,0,G4000,A,1.78E+11,2487519141,38.35075,-92.4567826
4,8,30,767982,30,0400000US30,MT,Montana,0,G4000,A,3.77E+11,3867177570,47.051177,-109.6348174
2,4,20,481813,20,0400000US20,KS,Kansas,0,G4000,A,2.12E+11,1345707708,38.4985464,-98.3834298
2,3,18,448508,18,0400000US18,IN,Indiana,0,G4000,A,92786613552,1543998356,39.9013136,-86.2919129
9,0,72,1779808,72,0400000US72,PR,Puerto Rico,0,G4000,A,8869031577,4922247037,18.217648,-66.4107992
2,4,46,1785534,46,0400000US46,SD,South Dakota,0,G4000,A,1.96E+11,3387709166,44.4467957,-100.2381762
1,1,25,606926,25,0400000US25,MA,Massachusetts,0,G4000,A,20204345054,7130705555,42.1565196,-71.4895915
3,5,51,1779803,51,0400000US51,VA,Virginia,0,G4000,A,1.02E+11,8528087616,37.5222512,-78.6681938
3,5,11,1702382,11,0400000US11,DC,District of Columbia,0,G4000,A,158316184,18709787,38.9042474,-77.0165167
2,4,19,1779785,19,0400000US19,IA,Iowa,0,G4000,A,1.45E+11,1086402333,42.0700243,-93.4933473
4,8,4,1779777,4,0400000US04,AZ,Arizona,0,G4000,A,2.94E+11,854003932,34.2039362,-111.6063449
